seed,split,space,cosine,l2
63,bootstrap,z,0.9994054436683655,0.38239872455596924
64,bootstrap,raw,0.8270699977874756,58.45589828491211
64,bootstrap,z,0.9995668530464172,0.3934164047241211
65,bootstrap,raw,0.8299123644828796,58.212005615234375
65,bootstrap,z,0.9994263648986816,0.3644122779369354
66,bootstrap,raw,0.8363870978355408,57.0269660949707
66,bootstrap,z,0.9994349479675293,0.4137783944606781
67,bootstrap,raw,0.8348993062973022,57.41913986206055
67,bootstrap,z,0.999695360660553,0.25508010387420654
68,bootstrap,raw,0.8322157859802246,57.71192169189453
68,bootstrap,z,0.9995541572570801,0.3023025393486023
69,bootstrap,raw,0.8325955867767334,57.7437858581543
69,bootstrap,z,0.9998748302459717,0.16118532419204712
70,bootstrap,raw,0.8330602049827576,57.72045135498047
70,bootstrap,z,0.9998513460159302,0.17375242710113525
71,bootstrap,raw,0.838170051574707,56.48626708984375
71,bootstrap,z,0.998049259185791,0.6341885328292847
72,bootstrap,raw,0.8330444693565369,57.74721145629883
72,bootstrap,z,0.9991482496261597,0.4302186667919159
73,bootstrap,raw,0.8299494981765747,58.63407897949219
73,bootstrap,z,0.9993493556976318,0.3951573371887207
74,bootstrap,raw,0.8374319672584534,56.98847579956055
74,bootstrap,z,0.9996987581253052,0.24926471710205078
75,bootstrap,raw,0.8352771997451782,57.26591491699219
75,bootstrap,z,0.9998738765716553,0.2217267006635666
76,bootstrap,raw,0.8330884575843811,57.6353759765625
76,bootstrap,z,0.9991744756698608,0.43103015422821045
77,bootstrap,raw,0.8367727994918823,56.98925018310547
77,bootstrap,z,0.9998849630355835,0.3095281422138214
78,bootstrap,raw,0.8348594903945923,57.45106887817383
78,bootstrap,z,0.9998000860214233,0.2009367197751999
79,bootstrap,raw,0.8253282904624939,58.57160949707031
79,bootstrap,z,0.9997930526733398,0.3267059326171875
80,bootstrap,raw,0.8315283060073853,57.80449676513672
80,bootstrap,z,0.9999767541885376,0.10740496963262558
81,bootstrap,raw,0.8320828676223755,57.86227798461914
81,bootstrap,z,0.999524712562561,0.35205549001693726
82,bootstrap,raw,0.8324469327926636,57.87251281738281
82,bootstrap,z,0.9993441700935364,0.3628804385662079
83,bootstrap,raw,0.8329776525497437,57.4809684753418
83,bootstrap,z,0.9999827146530151,0.11358418315649033
84,bootstrap,raw,0.8302562832832336,58.140045166015625
84,bootstrap,z,0.9990717768669128,0.44355833530426025
85,bootstrap,raw,0.8364133834838867,57.31044387817383
85,bootstrap,z,0.9994233250617981,0.3892974257469177
86,bootstrap,raw,0.8292465806007385,58.806129455566406
86,bootstrap,z,0.9992601871490479,0.4398892819881439
87,bootstrap,raw,0.8341383934020996,57.622901916503906
87,bootstrap,z,0.9990264177322388,0.5016722083091736
88,bootstrap,raw,0.8273746371269226,58.69594192504883
88,bootstrap,z,0.9994053840637207,0.44791874289512634
89,bootstrap,raw,0.836876392364502,56.755889892578125
89,bootstrap,z,0.9999608993530273,0.11517544835805893
90,bootstrap,raw,0.8330056667327881,57.50611877441406
90,bootstrap,z,0.9999765157699585,0.11917806416749954
91,bootstrap,raw,0.8306801319122314,58.1561393737793
91,bootstrap,z,0.9995728731155396,0.29013651609420776
92,bootstrap,raw,0.8319985270500183,58.18855285644531
92,bootstrap,z,0.9998936653137207,0.1644555926322937
93,bootstrap,raw,0.8333304524421692,57.552085876464844
93,bootstrap,z,0.9989991784095764,0.4533991515636444
94,bootstrap,raw,0.8276527523994446,58.173439025878906
94,bootstrap,z,0.99908047914505,0.5038233399391174
95,bootstrap,raw,0.8344253301620483,57.678775787353516
95,bootstrap,z,0.999472439289093,0.32373252511024475
96,bootstrap,raw,0.8370168209075928,57.27030944824219
96,bootstrap,z,0.9995229244232178,0.315838098526001
97,bootstrap,raw,0.8335301876068115,57.4141960144043
97,bootstrap,z,0.9987267255783081,0.5355649590492249
98,bootstrap,raw,0.8301554918289185,57.7999153137207
98,bootstrap,z,0.9994021654129028,0.46104076504707336
99,bootstrap,raw,0.8324243426322937,57.95201110839844
99,bootstrap,z,0.9999538660049438,0.09584135562181473
100,bootstrap,raw,0.8316530585289001,57.76373291015625
100,bootstrap,z,0.9994653463363647,0.3343989849090576
101,bootstrap,raw,0.833894670009613,57.40687942504883
101,bootstrap,z,0.9991483092308044,0.43080955743789673
102,bootstrap,raw,0.8351119756698608,57.42528533935547
102,bootstrap,z,0.9996503591537476,0.2834450602531433
103,bootstrap,raw,0.835112988948822,57.528236389160156
103,bootstrap,z,0.9995343685150146,0.3043040633201599
104,bootstrap,raw,0.8329678177833557,57.95246124267578
104,bootstrap,z,0.9999462962150574,0.1681067943572998
105,bootstrap,raw,0.8350540995597839,57.53511047363281
105,bootstrap,z,0.9989398121833801,0.45986923575401306
106,bootstrap,raw,0.8324972987174988,57.752689361572266
106,bootstrap,z,0.9995686411857605,0.3027004599571228
107,bootstrap,raw,0.8327243328094482,57.98316955566406
